[-37.473784398539784, -11.281392239611097]
[-95.88273170412309, -83.7684236808187]
[67.47418682356923, 15.774853634772068]
[90.78448242722901, -50.934365700426824]
[-21.701630069547363, -113.00926931948268]
[75.35089174922936, -149.69349192292466]
[-77.36272711491024, 44.505156983747476]
[-0.5108439265688228, -34.76813447405594]
[44.05233694366487, -47.60838309065251]
[62.96888653043809, -0.2896373430221696]
[-54.186728987758094, 17.16039256232792]
[-52.61837368977847, -0.0509449228702441]
[79.33941388425512, -1.0321171772541855]
[49.211586515675215, -6.972669430806432]
[-36.05270236228051, 6.95694082554221]
[-25.115334087830217, -11.873258822951755]
[51.32260437397913, -5.520487390711707]
[9.45616200788951, 21.914273618360944]
[1.5716700707879008, -4.206958682194415]
[5.37715997499956, -6.25858430338141]
[13.216034484827551, 3.303114481797473]
[-1.7608663127799287, 8.890519024601467]
[9.183485551648925, 1.657151830277766]
[12.308550860675616, -4.545181384583436]
[0.9843340261075775, 9.146827709725128]
[-6.194521762882475, -6.659169233798651]
[-0.8136038961715569, -17.243048832858854]
[-0.39755934502621915, -0.05269983980701831]
[11.449508677740345, -12.392390807288617]
[1.60132398560747, 1.038722164667206]
[2.7619673831881975, -14.225702912038301]
[-1.3643838071141559, 7.573696968820359]
[13.011647863722562, -6.816817851636546]
[-2.823009559936618, 18.78972939985728]
[7.3333068783188295, 16.667560446757097]
[-11.320977052575683, 8.266655304071987]
[8.9178673652959, 1.571542613420156]
[-0.4812318587513287, 12.18638179927199]
[-7.552317444168592, -1.1372693362633854]
[12.886845973880051, -3.6689531507800135]
[-2.535760121595981, 4.036852409251877]
[4.415878179093927, 1.653936384374615]
[-4.580954831636601, -3.0282153075966933]
[-2.759458042977677, 3.8972281841186005]
[4.839167929577536, 7.050569729475759]
[3.7955645677404015, 6.746359324269219]
[1.0591093522185844, 9.324283952610065]
[-1.1122679636805866, 1.7018956680362414]
[-5.726013276461236, 1.559971419859457]
[-8.000802077466023, -1.0341515101041905]
[6.094077607659911, 1.1784880430532747]
[4.235907402876918, 3.1030823580598472]
[-1.989408842205243, 5.954935056732553]
[0.3859843715996668, -10.1339934688845]
[4.536694261640083, -4.662702909716864]
[-6.1971385794225355, -4.697442632835714]
[8.235300485040137, -6.534819144931752]
[3.8055065683585743, 5.294286473115619]
[2.1958294249970502, 2.2519116583304424]
[-0.3739866634138532, -0.21507206422522285]
[-7.069412213109115, 3.572628301456853]
[-2.4430469466033617, -10.283733520782832]
[0.5202902203115437, -6.946400425756631]
[-4.039222520803364, 0.9464810738981649]
[1.089377024018185, 6.168075598987731]
[-3.420359092396275, -1.7339499947721644]
[2.691453083394542, 6.43559653152861]
[-3.1987924963743115, -1.41267151692349]
[-1.9687437492903452, -3.5627512071675094]
[-5.268291935233739, -3.0883296930907185]
[0.7297910313011687, 2.0204960402676604]
[-1.547965715024047, -6.618345905010663]
[5.094497755332235, -0.7526824559011558]
[1.028099306862086, -1.722855337319499]
[-2.9987755421243905, 2.451745054745232]
[2.5628323528177974, -5.22162401117637]
[-2.4824382468604576, 2.261222205151321]
[-3.088065366727635, -1.0192753598746973]
[3.1618916640971952, -2.462894781678826]
[-4.028749689393177, -0.9873929615229722]
[4.195941306198095, -5.548165224987336]
[-0.45193513773690364, -2.5447932560865754]
[1.7674002864710876, 2.209818983488587]
[13.167281915199078, 1.6574673489352327]
[-3.133460196260087, -0.4292532604359952]
[3.1580134274037963, -1.0140625530490186]
[-2.1144704724820276, -2.585716388911856]
[0.4328910296987033, 3.2044511409329113]
[0.2566415239372792, -2.2406063814095347]
[-0.7074181631109421, 0.024949819867845724]
[2.226932474414901, 1.0682777970548163]
[-3.9472346837570793, 1.9500835838520079]
[2.305720882578001, 5.6461104107071876]
[-1.6080515168867424, -3.9623952310289052]
[1.4898225894685861, -2.219461179159697]
[-5.349649405176431, -1.3488035023659504]
[-0.9245713381970002, -1.3380946879416589]
[-3.405491477707411, 1.0461214689991003]
[1.452686272225107, 1.403262638433999]
[1.131908718400982, 2.9356141290786257]
[1.0482133387883512, -2.327914428712821]
[5.695205287402117, 1.4333894618750265]
[-2.9177334359495646, 0.18116610728830196]
[-0.051610541038813795, 0.4484686919689357]
[2.4560186734402403, 1.7664711707740048]
[1.9662243750836634, -1.5546417722078711]
[-1.4862040359884394, 0.49014300728393456]
[2.635513172637543, 0.46490622275123805]
[-1.5887884941013626, -0.571167653052195]
[0.9949623514913786, 4.626520111964736]
[-1.8207461618636063, 1.3688272985132917]
[-1.3962498507831658, -3.1164649668170323]
[3.146247299702377, -0.8896915455774097]
[-2.635233562064129, 1.944970008794139]
[-0.4851424028313585, 2.37856002219681]
[0.7338885594502182, -2.876334135767277]
[-0.7257223554453821, -1.2699229081470431]
[-1.719341303896749, -0.73877051724516]
[-0.24815606946966112, -0.7568801039350054]
[2.9243072620805997, 2.965356817131397]
[-1.7250908936715754, -1.2269535427262839]
[-0.1292342480714912, 0.5420314548688485]
[-0.025306815890846074, 0.0007346325119097497]
[0.444754714215878, -2.696381423392163]
[2.0188245412574455, -0.008881204655448283]
[1.703776598043702, 0.8231369346185433]
